prompt,title,essay,competence,score,tema
28,Tantos casos de conhecimento público,"['Com tantos casos vindo a conhecimento público não podemos deixar de reparar no descrédito dos brasileiros na política, sendo um desses a corrupção generalizada nos ramos da politica e economia, desmotivando toda sociedade brasileira.', 'Todavia, observando os fatos que vem ocorrendo nos últimos tempos, é notório o crescimento de escândalos envolvendo deputados, senadores, ministros e presidentes, constando corrupção, lavagem de dinheiro ,caixa dois, onde o número de envolvidos é surpreendente. Assim, como os casos que mais abalaram o Brasil, sendo eles ""Mensalão"", ""impeachment contra dois presidentes, sendo o primeiro Fernando Collor e o segundo contra Dilma Rousseff"", ""as prisões de governantes "", e as acusações contra o atual presidente Michel Temer"".', 'Espavorecidos com tais casos que são relatados diariamente nos meios de comunicação os brasileiros esperam inquietos por algo que aparenta esta distante, a solução. A falta de punição ainda lidera quase tudo sempre. O papel da justiça habita exatamente aí, em acabar com o atual quadro de letargia e fazer cumprir as leis com mais eficiência e igualdade para todas as classes.', 'Contudo, a polícia federal deve continuar agindo da sua maneira, e dessa forma os políticos tendem a ter consciência dos seus atos e antes de pensar em transferir o dinheiro público para a conta pessoal, eles deveriam investir na necessidade de maior eficiência nos recursos disponíveis, priorizando a saúde e a educação.']","[0, 0, 0, 0, 0]",0,Por que não há novas manifestações nas ruas?
0,Carnaval ou cultura,"['O carnaval Carnaval chegou ao Brasil no período colonial assim sendo colonial. Assim sendo, os escravos pintava pintavam os rostos e saiam saíam nas às ruas. Tradicionalmente aos católicos Tradicionalmente, para os católicos, é o marco do início da Quaresma Quaresma, 40 dias segue que seguem até a sexta-feira santa Sexta-feira Santa, dois Dias dias antes da Páscoa.', 'Em primeira análise, o governador Federal o Governo federal libera um valor a para cada estado ao em incentivo à cultura, empresas cultura. Empresas privadas destinam partes parte dos impostos e aplica aplicam em eventos da festa.', 'Em segunda análise análise, a brincadeira que encanta diversos turistas de toda a nação atrai, também a também, grandes riscos de vícios e desidratação aos cidadãos no desfile promovendo postos de ambulâncias e policiamento devida a negligencia devido à negligência humana ocasiona mortes acidentais.', 'Por fim, em 2020, a escola de samba de São Clemente no figurino teve o enredo o Presidente da República, embora o carnavalesco pode-se ser usado para manifestar insatisfações sociais.', 'Então, o MINSTÉRIO DA EDUCAÇÃO Ministério da Educação deve repensar, e assim repensar o evento e, assim, veria que vale mais gastar o dinheiro da festa carnavalesca com criação de mais escolas com qualidade, mais hospitais públicos, investir em saneamento básico e por fim veria que o carnal Carnaval de fato não é o símbolo da nacionalidade brasileira do século XXI.']","[0, 0, 0, 0, 0]",0,Carnaval e apropriação cultural
21,O Brasil e seus conflitos,"['É de conhecimento geral que a notícia se espalha pelo Brasil inteiro, pois a manifestação está sendo falada em todo o território nacional. Com base nos conhecimentos os caminhoneiros estão reivindicando seus direitos.', 'Em consequência disso, vê-se a todo instante reportagens que vem a julgar a manifestação, no entanto, dizem que os caminhoneiros estao causando desordem entre a população, nota-se qeos grevistas não estão apenas manifestando para si , e sim àqueles que não tiveram coragem de sair nas ruas a declarar sua indignação. Em todos os canais há notas de esclarecimento que devido a greve, está faltando remédios em hospitais, doadores, etc. Isso é praticamente um meio de não culpar os governantes e querem pôr culpa nos caminhoneiros.', 'Em virtudes dos fatos mencionados, conclui-se que há uma esperança de vida melhor assim que a greve acabar.']","[0, 0, 0, 0, 0]",0,O Brasil paralisado: o que você pensa sobre a greve dos caminhoneiros?
34,Geração dos Narcisos,"['As pessoas da geração 2000 em diante, tem sido chamados de Geração Eu por sempre estarem exigindo elogios e se elevando. Sendo assim pessoas com muita autoestima podem se tornam egoístas.', ""Jean Twenge, escritora do livro ''Geração Eu'', afirma que Narcisismo leva ao excesso de confiança ou seja a pessoa cria muitas ilusões e muitas vezes se decepciona e isso é fruto do mimo que recebem dos pais."", 'Uma jornalista aposentada revela que quando você não permite que seu filho seja independente, ele sempre estará contando com você para alguma coisa. Se você cria seu filho dando tudo que quiser provavelmente não saberá viver sem você.', 'Keith Campbell, psicólogo da Universidade da Geórgia, também fala que os pais estão tratando os filhos como pessoas da realeza, estão sempre querendo ser os melhores e se acham superiores. Muitas vezes não assumem os erros e reclamam quando as pessoas não reconhecem seu valor.', 'Conclui-se, portanto, que os pais devem sempre educar bem seus filhos e dar não muito mais que o necessário, pois eles podem entrar na Geração Eu e se tornarem dependentes.']","[0, 0, 0, 0, 0]",0,"Você faz parte da turma do ""eu me acho?"""
23,Transgênicos,"['Desde o inicio dos tempos a relação entre consumidor e comerciante sempre se mostrou ‘transparente’, ou seja, o cliente tinha conhecimento do produto a ser comprado. Por isso ‘esconder’ o símbolo T (transgênicos), seria claramente uma quebra desta dessa transação de milênios.', 'O uso excessivo destes ‘alimentos T ’, pode acarretar em problemas de saúde, mas o individuo consegue prevenir-se observando as informações contidas na embalagem, consequentemente. Porém como está sendo discutido (retirar o aviso), aonde é desprezível o uso desta ‘bandeira’, pois esta mostrando a realidade e causando o ‘medo’ no comprador.', 'Na obra literária ‘Capitães de Areia’, os personagens lutam contra a doença comumente chamada (bexiga) , a 1º decisão deles é identificar os contaminados (esses tinham bolhas em sua face). Comparando este episódio com a questão dos transgênicos, conclui-se: é detectável o ‘vírus’, pois ele manifesta sintomas (temor).', 'Sendo assim enquanto persistir a anulação da imagem ‘T’, o consumidor estará sendo enganado, por não saber o que tem no produto. Como diz ‘quanto maior o conhecimento, maior o livre arbítrio’, Carlos Bernado poeta.']","[0, 0, 0, 0, 0]",0,Informação no rótulo de produtos transgênicos
6,somos responsável,"['Ao falar sobre a floresta amazônica amazônica, ela vitima vítima de irresponsabilidade do governo e dos grupos criminoso criminosos que explorar exploram de maneira irregular irregular, sem o devido processo de sustentabilidade sustentabilidade, tanto que somos observado observados diariamente mundo lá fora.', 'inicialmente Inicialmente, a negligencia negligência do governo quando se fala na questão ambiental e é tratada de modo relaxada relaxado, além disso as à legislação já existente existente, não e é dada a atenção correta correta, o que deixa todos preocupados ocorrido dentro do pais país revela na qual não estamos fazendo nossa obrigação correta para sua preservação já imaginamos uma floresta sem arvore árvores, com rios poluído poluídos de metais pesado pesados, devido à extração de ouro e outros matérias outras matérias, pois é possível se essa essas medidas não for colocada forem colocadas em prioridade em pouco tempo não teremos essa biodiversidade de características única únicas que países como a França alertou não só o brasil Brasil como também Colômbia, Bolívia, Peru. levantou Levantou uma hipótese sobre a internacionalização, evidente que França tem uma colônia na floresta amazônica localizada na Guiana francesa e maior área protegida não só pelos franceses mas da união europeia União Europeia são modelo para outras nações.', 'é É importante ressaltar que sustentabilidade poderá ser um dos requisito requisitos para um pais ser país se desenvolver economicamente com outra nação diverso acordo comercial uma vez afirmado sinaliza estamos comprimindo as nossa leis interna internas porque somos os responsável responsáveis pelo ato que produzimos não podemos terceirizar as nossa responsabilidade nossas responsabilidades.', 'por Por fim as consequências devastadora devastadoras de uma politica política ambiental obsoletada obsoleta mostra que mundo tão acompanhado está acompanhando atenciosamente as atitudes tomada tomadas teremos muitos desafio desafios para cumprir ser um pais país em que possa preservar é crescer de forma sustentável.']","[0, 0, 0, 0, 0]",0,Preservação da Amazônia: Desafio brasileiro ou internacional?
23,Rótulos mas  elaborados,"['Muito se tem falado sobre a comercialização e produção dos OGMs (Organismos geneticamente modificados , ou simplesmente alimentos transgênicos, termo ainda não definido pela lei da Biossegurança de 2005, mas nem todos sabemos que ambos são processos geneticamente diferentes, Conforme assegura o processo proposto por Charles Darwin e Alfred Wallace, os OGMs poderiam existir de forma natural, já os transgênicos cuja derivado de um processo onde se cria um organismo transgênico (o transgêne) em hipótese alguma ocorreria de forma natural, embora a forma natural levaria muito mas tempo, para o nosso consumo seria menos agressivo.', 'Trazendo para a realidade do nosso pais a aprovação dessa lei implicara na alteração das embalagens usadas para comercializar esses produtos, a inibição da sigla informando que o alimentos se derivou de forma transgênica fara que o consumidor mas uma vez seja enganado, e desprovido de informações importantes para a nossa saúde, embora não são muitos as pessoas que se dão o trabalho de antes de comprar um produto, dediquem um minuto do seu tempo para ler quais as composições daquele respectivo produto , mas levando em conta dos poucos que fazem ao contrario , essa lei negara essa informação muito importante.', 'Embora saibamos que existam muitos erros na qualidade da alimentação da humanidade, às vezes pela falta de conhecimento, tanto na fabricação quanto na derivação dos alimentos, não se deve ser negado a informação bem clara e precisa da composição dos alimentos, não apenas produtos transgênicos, mas a sua composição num todo, introduzir um rotulo mas elaborado e bem descritivo cessaria essa grande repercussão a respeito da desvalorização dos nossos produtos no ato da exportação, acabando assim com os rumores que a nossa economia poderia sofrer altos riscos, sem as exportações.']","[0, 0, 0, 0, 0]",0,Informação no rótulo de produtos transgênicos
8,A ciência na era da pós-verdade,"['Atualmente a ciência já desmitificou vários fatos importante importantes de grande relevância com relevância, como também contribui para contribuiu com a sociedade em diverso acontecimento histórico diversos acontecimentos históricos, porém gerou-se geraram-se outros mitos sobre a terra Terra plana ou redonda.', 'segundo Segundo os relatos dos livros de historias História, no período do século xiv e xv dos séculos XV e XVI, nas grandes navegações expansão marítima nas Grandes Navegações, durante a expansão marítima, tinha havia diversos mitos sobre a terra Terra que era comentado uns do grande mito o qual desse era sobre de que o planeta era plano e também poderia cair um grande abismo com diversos monstros, entretanto era no período que existia tantos recursos tecnológico com hoje de equipamento de precisão, diversas pesquisas fundamentada, publicação em revista cientifica científica conceituada a qual demonstra uma veracidade para comprovar para a população porem dúvida deixou uma lacuna em aberto para outra parte da sociedade mais em intelectual que desacorda em alguns itens ou duvida sobre a existência. São acontecimento acontecimentos de relevância que trouxe beneficio trouxeram benefícios um exemplo Albert Einstein com uma formula fórmula de energia massa velocidade luz onde contribuiu para desvenda à desvendar a energia atômica é como isso acrescentou para desenvolvimento militar como a bomba atômica mas também com usina nuclear para gerar eletricidade.', 'por tanto Portanto, fica claro que a ciência buscar desenvolver é contribui e demonstra para a sociedade de que realmente pode acreditar nela até porque especulação não tem fundamento cientifico científico é abstrato.']","[0, 0, 0, 0, 0]",0,A ciência na era da pós-verdade
2,Censura ao Supremo Tribunal Federal versus opinião pública,"['De acordo com pesquisas o supremo tribunal federal pesquisas, o Supremo Tribunal Federal vem sendo tendo destaque pelo os pelos ataques por a sua conduta. Avaliação que foi feita pode-se mensurar como pessoas classificaram, e a maioria a afirmou como: péssimo. Diante da problemática que circunda o STF em que diz respeita a respeito à opinião pública, observa-se que as pessoas estão incontentes descontentes com maneira que tratam as reivindicações sociais, já que essas deveriam ser relevantes no contextual contexto social e não políticos político.', 'As premissas que levaram as pessoas a classificarem o STF como péssimo foi após a promulgação eleição do novo presidente do Brasil, e condução que foi desencadeada no governo do presente. Acredita-se que muitos insatisfeitos com novo presidente e as novas mudanças no meio social tenderam a aumentar número de pessoas contra o STS STF, mas vale salientar que o STF continua cumprindo com as medidas, resolvendo e debatendo nas leis do país.', 'Todavia, as transformações que ocorreram e precisavam colocar em vigor, trouxe consigo divergências de opiniões em que maioria não concorda com aprovação de alguns requisitos do STF, mas ressaltar-se que qualquer a aprovação passa pela votação e só depois são encaminhados aos outros poderes do país. Pode-se evidenciar que pessoas precisam se inteirar mais sobre como ocorrem normas de reivindicação da população.', 'Contudo, vê-se uma sociedade desinformada que se precisa mais saber sobre os eventos que acontece acontecem no país. Cabe salientar que qualquer decisão precisa passar pela tramitação e só depois de avaliados que colocado em vigor, mas diante disso é preciso frisar que necessita colocar políticos responsáveis que priorize priorizem com seriedade as problemáticas sociais e que saiba saibam tomar decisões que beneficie a beneficiem à sociedade e não aos políticos.']","[0, 0, 0, 0, 0]",0,Supremo Tribunal Federal e opinião pública
5,As consequências do pós-revolução verde,"['É perceptível São perceptíveis os efeitos do agrotóxico dos agrotóxicos na produção em larga escala, escala: produtos que em tese deveriam ser produzidos em certas épocas do ano são produzidos, consumidos e exportados indecente independentemente do clima, época e temperatura, mas qual seria o preço a se pagar para consumir produtos que em circunstâncias naturais não seriam produzidos?', 'O uso de agroquímicos ao longo dos anos vem sendo estudado e diretamente ligado a doenças como câncer, infertilidade e danos ao fígado, fígado. Trata-se de produtos que não estão apenas contaminando as pessoas que consomem e aplicam o veneno, mas prejudicando também rios, solos e toda a biodiversidade a sua volta.', 'O atual presidente da república, Jair Bolsonaro Bolsonaro, aprovou recentemente 62 novos tipos de pesticidas, o que comprova um seu total descaço descaso com a saúde da população e biodiversidade brasileira, apenas visando o lucro.', 'Apesar da de a economia brasileira também ser composta pela exportação de alimentos da agricultura familiar familiar, não é viável permanecer num sistema que coloca a população e a natureza em risco.', 'Tendo em vista que em circunstâncias naturais alguns alimentos não podem ser produzidos em qualquer época do ano ano, é necessário um incentivo em pesquisa para elaborar meios de produção que não contaminem as pessoas e o ambiente.', 'A produção de alimentos sem agroquímicos, respeitando o ambiente propício próprio das frutas, legumes e hortaliças hortaliças, pode incentivar o conhecimento da população em relação à a alimentos brasileiros em sua época do ano, impedindo a falta de produtos no mercado consumidor.']","[0, 0, 0, 0, 0]",0,Agrotóxicos ou defensivos agrícolas: dois nomes e uma polêmica
35,(Sem título 097),"['Atualmente é muito discutido um problema na questão política que pode ter tido início em meados 1930 com o governo provisório de Getulio Vargas que induzia a população de baixa renda através de propostas educacionais.', 'A situação abordada refere-se a politicagem introduzida nas instituições de ensino, e com isso podemos citar um fato que ocorre principalmente nas escolas públicas que acontece a partir de um programa chamado Bolsa Família e segundo o MEC 95% dos alunos participantes só frequentam a escola para conseguirem desembolsar os benefícios que o governo oferece as famílias carentes.', 'Outro fato a ser abordado é a questão dos professores introduzirem sua opinião pessoal em questões políticas para favorecer algo ou alguém.', 'Portanto medidas são necessárias para resolver o impasse e com isso foi criado uma proposta que tem como nome ""Escola Sem Partido"" onde existe deveres a serem cumpridas pelos educadores. Como cita o filósofo Immanuel Kant ""O homem não é nada além daquilo que a educação faz dele"" e assim não devemos em hipótese alguma aceitar esses abusos cometidos.']","[0, 0, 0, 0, 0]",0,Escola no Brasil: com partido ou sem partido?
34,Gerações em conflito,"['O iluminismo, movimento intelectual que surgiu no século XVIII, fez o ser humano ter uma visão diferenciada de si mesmo, reconhecendo suas habilidades e fraquezas. Este autoconhecimento se fortificou com o passar dos anos, tornando a sociedade mais autoconfiante.', 'Por conseguinte, nos tempos atuais surge uma nova concepção por parte dos adultos e idosos, quanto aos adolescentes e jovens atuais que são considerados arrogantes e confiantes demais. Diversos motivos são apresentados para a geração mais nova ter obtido tanta confiança em si, como por exemplo o mimo dos pais e as diversas oportunidades que os jovens e adolescentes possuem para ampliar o conhecimento, diferente do que era disponível à geração anterior. Essa forma de se ver melhor do que os outros acaba por gerar problemas aos mais novos, como por exemplo sentir que seus talentos não estão sendo devidamente reconhecidos.', 'Estudos recentes comprovam que os adolescentes e jovens atuais realmente se sentem melhores do que as pessoas mais velhas, entretanto percebe-se que há um conflito de gerações. É célebre que a tecnologia mais avançada e a maior disponibilidade de universidades e escolas fizeram a geração mais nova obter conhecimentos mais rapidamente.', 'Se compararmos em termos intelectuais a população mundial atual, com a de pessoas da idade média , veremos que há uma grande diferença de conhecimento.', 'É notável a arrogância da geração mais nova, porém é perceptível o descontentamento das pessoas mais velhas em aceitar que os jovens e adolescentes estão aprendendo mais rapidamente.']","[0, 0, 0, 0, 0]",0,"Você faz parte da turma do ""eu me acho?"""
18,Direitos Humanos Atualmente,"['Os direitos humanos foram elaborados com o intuito de trazer igualdade e benefícios para a população em geral, de modo que todos tenham seus direitos garantidos. No entanto, o mundo viveu e vive uma época de grandes conflitos e esses direitos vem', 'Durante toda a história guerras, mortes e terrorismo faz parte dos países em geral. Tais situações temos a primeira e segunda guerra mundial, entre outras, além de um número incalculável de pessoas feridas e mortas. O terror presente mesmo em países mais desenvolvidos, como o exemplo, o ataque as torres gêmeas, em setembro , na cidade de Nova Iorque, repercute ainda hoje.', 'Segundo a constituição todos são iguais por lei, porém essa igualdade está bem longe da nossa sociedade, tais situações são perceptíveis como exemplo muitas pessoas ainda não possui uma moradia, passando os dias e as noites nas ruas. O salário dos homens ainda continua superior ao das mulheres. Essas desigualdades vem principalmente de consequências dos conflitos sociais e éticos, como os descritos acima e o machismo presente em nossa sociedade.', 'Dessa forma mesmo com os direitos humanos sendo desrespeitados, é preciso que o povo acorde e levante, garantindo seus direitos, além do respeito às leis e ao próximo e uma supervisão mais segura e detalhada com o que está sendo feito.']","[0, 0, 0, 0, 0]",0,Direitos humanos: em defesa de quem?
0,Apropriação cultural significa uma pessoa...,"['Apropriação cultural significa uma pessoa poder usar elementos de outras cultura culturas como roupas, símbolos e vários outros elementos. Que elementos que tenham algum significado para determinada cultura.', 'Ao usar em um festival como carnaval o Carnaval a ""fantasia"" de índio estará cometendo apropriação cultural, sim estará pois não á há nem um indígena no local que permitiu fazer o uso da sua cultura. Apropriação cultural só acontece quando você faz o uso da cultura sem a permissão do grupo e quando a zombam.', 'Mas se você fizer o uso dos elementos da cultura no meio daquele povo com o consenso deles, até eles se agradaram ficarão agradados, pois mostrará como uma forma de respeito e interesse pela cultura.', 'Apropriação cultural foi um tema muito debatido após o carnaval de 2020 onde quando houve até famosos que fizeram esta atitude.']","[0, 0, 0, 0, 0]",0,Carnaval e apropriação cultural
